permno,sorting_date,portfolio_size,portfolio_bm,portfolio_op,portfolio_inv,exchange,size
16560,2024-07-01,1,2,2,2,NYSE,1292.13946
16562,2024-07-01,1,1,1,1,NASDAQ,687.49604
16591,2024-07-01,1,2,3,3,NASDAQ,2279.03724
16592,2024-07-01,1,2,3,3,NASDAQ,544.42605
16611,2024-07-01,1,1,3,2,NYSE,375.85756
16613,2024-07-01,1,2,1,1,AMEX,39.704172799999995
16617,2024-07-01,1,3,3,3,NYSE,928.02813
16625,2024-07-01,1,3,1,1,NASDAQ,16.2507264
16630,2024-07-01,1,1,2,3,NASDAQ,679.2798
16633,2024-07-01,1,3,2,3,NASDAQ,67.14321
16638,2024-07-01,1,2,1,3,NASDAQ,315.9297
16648,2024-07-01,1,3,2,2,NYSE,2235.91136
16650,2024-07-01,1,1,1,1,NYSE,674.84365
16653,2024-07-01,1,2,3,3,NYSE,3282.93377
16667,2024-07-01,1,3,3,2,NYSE,1098.8365
16668,2024-07-01,1,2,1,1,NASDAQ,602.78032
16671,2024-07-01,1,3,2,3,NASDAQ,136.0404
16675,2024-07-01,1,3,1,3,NASDAQ,42.00034
16680,2024-07-01,1,1,3,1,NASDAQ,47.64864
16681,2024-07-01,1,3,1,1,NASDAQ,19.569354
16689,2024-07-01,1,3,3,3,NYSE,2782.696
16696,2024-07-01,1,1,3,3,NYSE,1302.5049
16697,2024-07-01,1,3,3,1,NYSE,457.50747
16698,2024-07-01,1,1,1,2,NASDAQ,1269.76556
16703,2024-07-01,1,2,2,3,NASDAQ,317.6496
16705,2024-07-01,1,1,1,1,NASDAQ,120.15143999999998
16709,2024-07-01,1,1,1,1,NASDAQ,54.5916624
16712,2024-07-01,1,2,1,1,NASDAQ,85.79863999999999
16737,2024-07-01,1,3,2,1,NYSE,372.35098
16746,2024-07-01,1,3,1,2,NYSE,203.22187
16750,2024-07-01,1,2,3,2,NYSE,260.41158
16753,2024-07-01,1,3,3,1,NYSE,562.50552
